name,ra_deg,dec_deg,vmag,bv
9Alp CMa,101.2871,-16.7161,-1.46,0.00
Alp Car,95.9879,-52.6958,-0.72,0.15
16Alp Boo,213.9154,19.1825,-0.04,1.23
Alp1Cen,219.8996,-60.8353,-0.01,0.71
3Alp Lyr,279.2346,38.7836,0.03,0.00
13Alp Aur,79.1725,45.9981,0.08,0.80
19Bet Ori,78.6346,-8.2017,0.12,-0.03
10Alp CMi,114.8254,5.2250,0.38,0.42
Alp Eri,24.4288,-57.2367,0.46,-0.16
58Alp Ori,88.7929,7.4069,0.50,1.85
Bet Cen,210.9558,-60.3731,0.61,-0.23
53Alp Aql,297.6958,8.8683,0.77,0.22
87Alp Tau,68.9800,16.5092,0.85,1.54
21Alp Sco,247.3517,-26.4319,0.96,1.83
67Alp Vir,201.2983,-11.1614,0.98,-0.23
78Bet Gem,116.3287,28.0261,1.14,1.00
24Alp PsA,344.4129,-29.6222,1.16,0.09
Bet Cru,191.9300,-59.6886,1.25,-0.23
50Alp Cyg,310.3579,45.2803,1.25,0.09
Alp1Cru,186.6496,-63.0992,1.33,-0.24
Alp2Cen,219.9004,-60.8356,1.33,0.88
32Alp Leo,152.0929,11.9672,1.35,-0.11
21Eps CMa,104.6562,-28.9722,1.50,-0.21
Gam Cru,187.7913,-57.1133,1.63,1.59
35Lam Sco,263.4021,-37.1039,1.63,-0.22
24Gam Ori,81.2829,6.3497,1.64,-0.22
112Bet Tau,81.5729,28.6075,1.65,-0.13
Bet Car,138.3000,-69.7172,1.68,0.00
46Eps Ori,84.0533,-1.2019,1.70,-0.19
Alp2Cru,186.6521,-63.0994,1.73,-0.26
Alp Gru,332.0583,-46.9611,1.74,-0.13
77Eps UMa,193.5071,55.9597,1.77,-0.02
Gam2Vel,122.3833,-47.3367,1.78,-0.22
33Alp Per,51.0808,49.8611,1.79,0.48
50Alp UMa,165.9321,61.7508,1.79,1.07
25Del CMa,107.0979,-26.3933,1.84,0.68
20Eps Sgr,276.0429,-34.3847,1.85,-0.03
Eps Car,125.6283,-59.5097,1.86,1.28
85Eta UMa,206.8850,49.3133,1.86,-0.19
The Sco,264.3300,-42.9978,1.87,0.40
34Bet Aur,89.8821,44.9475,1.90,0.03
Alp TrA,252.1662,-69.0278,1.92,1.44
24Gam Gem,99.4279,16.3992,1.93,0.00
Alp Pav,306.4121,-56.7350,1.94,-0.20
Del Vel,131.1758,-54.7083,1.96,0.04
2Bet CMa,95.6750,-17.9558,1.98,-0.23
66Alp Gem,113.6500,31.8883,1.98,0.03
30Alp Hya,141.8967,-8.6586,1.98,1.44
13Alp Ari,31.7933,23.4625,2.00,1.15
HR,239.8758,25.9203,2.00,0.10
1Alp UMi,37.9529,89.2642,2.02,0.60
34Sig Sgr,283.8163,-26.2967,2.02,-0.22
16Bet Cet,10.8975,-17.9867,2.04,1.02
50Zet Ori,85.1896,-1.9428,2.05,-0.21
21Alp And,2.0971,29.0906,2.06,-0.11
43Bet And,17.4329,35.6206,2.06,1.58
53Kap Ori,86.9392,-9.6697,2.06,-0.17
5The Cen,211.6708,-36.3700,2.06,1.01
7Bet UMi,222.6763,74.1556,2.08,1.47
55Alp Oph,263.7337,12.5600,2.08,0.15
Bet Gru,340.6671,-46.8847,2.10,1.60
26Bet Per,47.0421,40.9556,2.12,-0.05
94Bet Leo,177.2650,14.5719,2.14,0.09
Gam Cen,190.3792,-48.9597,2.17,-0.01
37Gam Cyg,305.5571,40.2567,2.20,0.68
Lam Vel,136.9992,-43.4325,2.21,1.66
18Alp Cas,10.1271,56.5372,2.23,1.17
34Del Ori,83.0017,-0.2992,2.23,-0.22
5Alp CrB,233.6721,26.7147,2.23,-0.02
33Gam Dra,269.1517,51.4889,2.23,1.52
Zet Pup,120.8963,-40.0033,2.25,-0.26
Iot Car,139.2725,-59.2753,2.25,0.18
57Gam1And,30.9750,42.3297,2.26,1.37
11Bet Cas,2.2946,59.1497,2.27,0.34
79Zet UMa,200.9812,54.9253,2.27,0.02
26Eps Sco,252.5408,-34.2933,2.29,1.15
Eps Cen,204.9717,-53.4664,2.30,-0.22
Alp Lup,220.4825,-47.3883,2.30,-0.20
Eta Cen,218.8767,-42.1578,2.31,-0.19
7Del Sco,240.0833,-22.6217,2.32,-0.12
48Bet UMa,165.4604,56.3825,2.37,-0.02
Alp Phe,6.5708,-42.3061,2.39,1.09
8Eps Peg,326.0467,9.8750,2.39,1.53
Kap Sco,265.6221,-39.0300,2.41,-0.22
53Bet Peg,345.9438,28.0828,2.42,1.67
35Eta Oph,257.5946,-15.7247,2.43,0.06
64Gam UMa,178.4575,53.6947,2.44,0.00
5Alp Cep,319.6450,62.5856,2.44,0.22
31Eta CMa,111.0238,-29.3031,2.45,-0.08
53Eps Cyg,311.5529,33.9703,2.46,1.03
27Gam Cas,14.1771,60.7167,2.47,-0.15
54Alp Peg,346.1904,15.2053,2.49,-0.04
Kap Vel,140.5283,-55.0108,2.50,-0.18
92Alp Cet,45.5700,4.0897,2.53,1.64
Zet Cen,208.8850,-47.2883,2.55,-0.22
68Del Leo,168.5271,20.5236,2.56,0.12
13Zet Oph,249.2896,-10.5672,2.56,0.02
11Alp Lep,83.1825,-17.8222,2.58,0.21
4Gam Crv,183.9517,-17.5419,2.59,-0.11
Del Cen,182.0896,-50.7225,2.60,-0.12
38Zet Sgr,285.6529,-29.8803,2.60,0.08
41Gam1Leo,154.9929,19.8417,2.61,1.15
27Bet Lib,229.2517,-9.3831,2.61,-0.11
37The Aur,89.9304,37.2125,2.62,-0.08
8Bet1Sco,241.3592,-19.8056,2.62,-0.07
6Bet Ari,28.6600,20.8081,2.64,0.13
Alp Col,84.9121,-34.0742,2.64,-0.12
9Bet Crv,188.5967,-23.3967,2.65,0.89
24Alp Ser,236.0671,6.4256,2.65,1.17
37Del Cas,21.4542,60.2353,2.68,0.13
8Eta Boo,208.6713,18.3978,2.68,0.58
Bet Lup,224.6329,-43.1339,2.68,-0.22
3Iot Aur,74.2483,33.1661,2.69,1.53
Mu  Vel,161.6925,-49.4200,2.69,0.90
Alp Mus,189.2958,-69.1356,2.69,-0.20
34Ups Sco,262.6908,-37.2958,2.69,-0.22
Pi  Pup,109.2858,-37.0975,2.70,1.62
36Eps Boo,221.2467,27.0742,2.70,0.97
19Del Sgr,275.2487,-29.8281,2.70,1.38
50Gam Aql,296.5650,10.6133,2.72,1.52
1Del Oph,243.5863,-3.6944,2.74,1.58
14Eta Dra,245.9979,61.5142,2.74,0.91
Iot Cen,200.1492,-36.7122,2.75,0.04
9Alp2Lib,222.7196,-16.0417,2.75,0.15
The Car,160.7392,-64.3944,2.76,-0.22
44Iot Ori,83.8583,-5.9100,2.77,-0.24
27Bet Her,247.5550,21.4897,2.77,0.94
60Bet Oph,265.8683,4.5672,2.77,1.16
Gam Lup,233.7854,-41.1669,2.78,-0.20
67Bet Eri,76.9625,-5.0864,2.79,0.13
23Bet Dra,262.6083,52.3014,2.79,0.98
Bet Hyi,6.4379,-77.2542,2.80,0.62
Del Cru,183.7862,-58.7489,2.80,-0.23
15Rho Pup,121.8858,-24.3042,2.81,0.43
40Zet Her,250.3217,31.6031,2.81,0.65
22Lam Sgr,276.9925,-25.4217,2.81,1.04
23Tau Sco,248.9708,-28.2161,2.82,-0.25
88Gam Peg,3.3092,15.1836,2.83,-0.23
47Eps Vir,195.5442,10.9592,2.83,0.94
9Bet Lep,82.0613,-20.7594,2.84,0.82
44Zet Per,58.5329,31.8836,2.85,0.12
Bet TrA,238.7854,-63.4306,2.85,0.29
Bet Ara,261.3250,-55.5300,2.85,1.46
Alp Hyi,29.6925,-61.5697,2.86,0.28
Alp Tuc,334.6254,-60.2597,2.86,1.39
25Eta Tau,56.8713,24.1050,2.87,-0.09
18Del Cyg,296.2437,45.1308,2.87,-0.03
49Del Cap,326.7600,-16.1272,2.87,0.29
13Mu  Gem,95.7400,22.5136,2.88,1.64
66Alp Gem,113.6500,31.8886,2.88,0.04
45Eps Per,59.4633,40.0103,2.89,-0.18
Gam TrA,229.7275,-68.6794,2.89,0.00
6Pi  Sco,239.7129,-26.1142,2.89,-0.19
20Sig Sco,245.2971,-25.5928,2.89,0.13
41Pi  Sgr,287.4408,-21.0236,2.89,0.35
3Bet CMi,111.7875,8.2894,2.90,-0.09
12Alp2CVn,194.0071,38.3183,2.90,-0.12
22Bet Aqr,322.8896,-5.5711,2.91,0.83
23Gam Per,46.1992,53.5064,2.93,0.70
Tau Pup,102.4842,-50.6147,2.93,1.20
44Eta Peg,340.7504,30.2214,2.94,0.86
34Gam Eri,59.5075,-13.5086,2.95,1.59
7Del Crv,187.4663,-16.5156,2.95,-0.05
Alp Ara,262.9604,-49.8761,2.95,-0.17
34Alp Aqr,331.4458,-0.3197,2.96,0.98
27Eps Gem,100.9829,25.1311,2.98,1.40
17Eps Leo,146.4629,23.7742,2.98,0.80
7Eps Aur,75.4921,43.8233,2.99,0.54
10Gam2Sgr,271.4521,-30.4242,2.99,1.00
17Zet Aql,286.3525,13.8633,2.99,0.01
4Bet Tri,32.3858,34.9872,3.00,0.14
123Zet Tau,84.4113,21.1425,3.00,-0.19
2Eps Crv,182.5312,-22.6197,3.00,1.33
46Gam Hya,199.7304,-23.1717,3.00,0.92
39Del Per,55.7313,47.7875,3.01,-0.13
Ups Car,146.7754,-65.0719,3.01,0.28
52Psi UMa,167.4158,44.4986,3.01,1.14
Gam Gru,328.4821,-37.3650,3.01,-0.12
1Zet CMa,95.0783,-30.0633,3.02,-0.19
24Omi2CMa,105.7562,-23.8333,3.02,-0.08
27Gam Boo,218.0196,38.3083,3.03,0.19
Iot1Sco,266.8963,-40.1269,3.03,0.51
68Omi Cet,34.8362,-2.9775,3.04,1.42
Mu  Cen,207.4042,-42.4739,3.04,-0.17
34Mu  UMa,155.5821,41.4994,3.05,1.59
Bet Mus,191.5704,-68.1081,3.05,-0.18
13Gam UMi,230.1821,71.8339,3.05,0.05
57Del Dra,288.1388,67.6617,3.07,1.00
Mu 1Sco,252.9675,-38.0475,3.08,-0.20
6Bet1Cyg,292.6804,27.9597,3.08,1.13
9Bet Cap,305.2529,-14.7814,3.08,0.79
16Zet Hya,133.8483,5.9456,3.11,1.00
Nu  Hya,162.4062,-16.1936,3.11,1.25
Eta Sgr,274.4067,-36.7617,3.11,1.56
Alp Ind,309.3917,-47.2914,3.11,1.00
Bet Col,87.7400,-35.7683,3.12,1.16
40Alp Lyn,140.2637,34.3925,3.13,1.55
HR,142.8054,-57.0344,3.13,1.55
Lam Cen,173.9450,-63.0197,3.13,-0.04
Kap Cen,224.7904,-42.1042,3.13,-0.20
Zet Ara,254.6550,-55.9903,3.13,1.60
9Iot UMa,134.8017,48.0417,3.14,0.19
65Del Her,258.7579,24.8392,3.14,0.08
67Pi  Her,258.7617,36.8092,3.16,1.44
10Eta Aur,76.6287,41.2344,3.17,-0.18
Nu  Pup,99.4404,-43.1961,3.17,-0.11
25The UMa,143.2142,51.6772,3.17,0.46
22Zet Dra,257.1967,65.7147,3.17,-0.12
27Phi Sgr,281.4142,-26.9908,3.17,-0.11
1Pi 3Ori,72.4600,6.9614,3.19,0.45
2Eps Lep,76.3654,-22.3711,3.19,1.46
Alp Cir,220.6267,-64.9753,3.19,0.24
27Kap Oph,254.4171,9.3750,3.20,1.15
64Zet Cyg,318.2342,30.2269,3.20,0.99
HR,267.4646,-37.0433,3.21,1.17
35Gam Cep,354.8367,77.6325,3.21,1.03
Del Lup,230.3429,-40.6475,3.22,-0.22
65The Aql,302.8263,-0.8214,3.23,-0.07
8Bet Cep,322.1650,70.5608,3.23,-0.22
The1Eri,44.5654,-40.3047,3.24,0.14
Gam Hyi,56.8096,-74.2389,3.24,1.62
2Eps Oph,244.5804,-4.6925,3.24,0.96
14Gam Lyr,284.7358,32.6894,3.24,-0.05
Sig Pup,112.3075,-43.3014,3.25,1.51
58Eta Ser,275.3275,-2.8989,3.26,0.94
31Del And,9.8321,30.8608,3.27,1.28
Alp Dor,68.4992,-55.0450,3.27,-0.10
Alp Pic,102.0475,-61.9414,3.27,0.21
49Pi  Hya,211.5929,-26.6825,3.27,1.12
42The Oph,260.5025,-24.9994,3.27,-0.22
76Del Aqr,343.6625,-15.8208,3.27,0.05
7Eta Gem,93.7192,22.5067,3.28,1.60
20Sig Lib,226.0175,-25.2819,3.29,1.70
12Iot Dra,231.2325,58.9661,3.29,1.16
Bet Phe,16.5208,-46.7186,3.31,0.89
5Mu  Lep,78.2329,-16.2056,3.31,-0.11
69Del UMa,183.8567,57.0325,3.31,0.08
Ome Car,153.4342,-70.0381,3.32,-0.08
HR,158.0058,-61.6853,3.32,-0.09
40Tau Sgr,286.7350,-27.6706,3.32,1.19
Eta Sco,258.0383,-43.2392,3.33,0.41
7Xi  Pup,117.3237,-24.8597,3.34,1.24
70The Leo,168.5600,15.4294,3.34,-0.01
Gam Ara,261.3483,-56.3775,3.34,-0.13
64Nu  Oph,269.7567,-9.7736,3.34,0.99
Alp Ret,63.6062,-62.4739,3.35,0.91
21Zet Cep,332.7138,58.2011,3.35,1.57
28Eta Ori,81.1192,-2.3969,3.36,-0.17
31Xi  Gem,101.3225,12.8956,3.36,0.43
1Omi UMa,127.5662,60.7181,3.36,0.84
30Del Aql,291.3746,3.1147,3.36,0.32
79Zet Vir,203.6733,-0.5958,3.37,0.11
Eps Lup,230.6704,-44.6894,3.37,-0.18
45Eps Cas,28.5987,63.6700,3.38,-0.15
11Eps Hya,131.6942,6.4189,3.38,0.68
43Del Vir,193.9008,3.3975,3.38,1.58
25Rho Per,46.2942,38.8403,3.39,1.65
78The2Tau,67.1654,15.8708,3.40,0.18
HR,154.2708,-61.3322,3.40,1.54
42Zet Peg,340.3654,10.8314,3.40,-0.09
Gam Phe,22.0913,-43.3183,3.41,1.57
2Alp Tri,28.2704,29.5789,3.41,0.49
Nu  Cen,207.3762,-41.6878,3.41,-0.22
Zet Lup,228.0712,-52.0992,3.41,0.92
Eta Lup,240.0304,-38.3969,3.41,-0.22
86Mu  Her,266.6146,27.7206,3.42,0.75
Bet Pav,311.2396,-66.2031,3.42,0.16
3Eta Cep,311.3225,61.8389,3.43,0.92
24Eta Cas,12.2750,57.8158,3.44,0.57
HR,137.7417,-58.9669,3.44,-0.19
36Zet Leo,154.1725,23.4172,3.44,0.31
16Lam Aql,286.5621,-4.8825,3.44,-0.09
31Eta Cet,17.1475,-10.1822,3.45,1.16
33Lam UMa,154.2742,42.9144,3.45,0.03
10Bet Lyr,282.5200,33.3628,3.45,0.00
86Gam Cet,40.8250,3.2358,3.47,0.09
35Lam Tau,60.1700,12.4903,3.47,-0.12
22Sig CMa,105.4296,-27.9347,3.47,1.73
Chi Car,119.1946,-52.9822,3.47,-0.18
49Del Boo,228.8758,33.3147,3.47,0.95
12Gam Sge,299.6892,19.4922,3.47,1.57
54Nu  UMa,169.6196,33.0942,3.48,1.40
64Alp1Her,258.6621,14.3903,3.48,1.44
48Mu  Peg,342.5008,24.6017,3.48,0.93
Eps Gru,342.1388,-51.3169,3.49,0.08
52Tau Cet,26.0171,-15.9375,3.50,0.72
42Bet Boo,225.4867,40.3906,3.50,0.97
Alp Tel,276.7433,-45.9683,3.51,-0.17
37Xi 2Sgr,284.4325,-21.1067,3.51,1.18
17Bet Cnc,124.1288,9.1856,3.52,1.48
14Omi Leo,145.2875,9.8922,3.52,0.49
30Eta Leo,151.8333,16.7628,3.52,-0.03
32Iot Cep,342.4200,66.2006,3.52,1.05
74Eps Tau,67.1542,19.1803,3.53,1.01
55Del Gem,110.0308,21.9822,3.53,0.34
32Mu  Ser,237.4050,-3.4303,3.53,-0.04
44Eta Her,250.7242,38.9222,3.53,0.92
26The Peg,332.5500,6.1978,3.53,0.08
23Del Eri,55.8121,-9.7633,3.54,0.92
39Lam Ori,83.7846,9.9342,3.54,-0.18
Phi Vel,149.2158,-54.5678,3.54,-0.08
Xi  Hya,173.2504,-31.8578,3.54,0.94
55Xi  Ser,264.3967,-15.3986,3.54,0.26
14Zet Lep,86.7387,-14.8219,3.55,0.10
Iot Lup,214.8508,-46.0578,3.55,-0.18
8Iot Cet,4.8571,-8.8239,3.56,1.22
Phi Eri,34.1275,-51.5122,3.56,-0.12
41Ups4Eri,64.4737,-33.7983,3.56,-0.12
12Del Crt,169.8354,-14.7786,3.56,1.12
Phi1Lup,230.4517,-36.2614,3.56,1.54
Del Pav,302.1817,-66.1819,3.56,0.76
51    And,24.4983,48.6283,3.57,1.28
77Kap Gem,116.1117,24.3981,3.57,0.93
Mu 2Sco,253.0838,-38.0175,3.57,-0.21
44Chi Dra,275.2642,72.7328,3.57,0.49
6Alp2Cap,304.5137,-12.5447,3.57,0.94
54Lam Gem,109.5233,16.5403,3.58,0.11
25Rho Boo,217.9575,30.3714,3.58,1.30
39Ups Lib,234.2562,-28.1350,3.58,1.38
Eps Cru,185.3400,-60.4011,3.59,1.42
45The Cet,21.0058,-8.1833,3.60,1.06
1Omi Tau,51.2033,9.0289,3.60,0.89
20Tau Ori,79.4017,-6.8444,3.60,-0.11
13Gam Lep,86.1158,-22.4483,3.60,0.47
34The Gem,103.1971,33.9611,3.60,0.10
12Kap UMa,135.9062,47.1567,3.60,0.00
Psi Vel,142.6750,-40.4667,3.60,0.36
HR,116.3137,-37.9686,3.61,1.73
41Lam Hya,152.6471,-12.3542,3.61,1.01
5Bet Vir,177.6738,1.7647,3.61,0.55
99Eta Psc,22.8708,15.3458,3.62,0.97
HR,130.0733,-52.9219,3.62,-0.18
Del Mus,195.5675,-71.5489,3.62,1.18
Zet2Sco,253.6458,-42.3614,3.62,1.37
Del Ara,262.7746,-60.6839,3.62,-0.10
